Text#Image
urn:cts:greekLit:tlg0012.tlg001.msA:16.15#urn:cite:hmt:vaimg.VA206RN-0377@0.176,0.4763,0.417,0.0248
urn:cts:greekLit:tlg0012.tlg001.msA:16.16#urn:cite:hmt:vaimg.VA206RN-0377@0.175,0.4974,0.429,0.0218
urn:cts:greekLit:tlg0012.tlg001.msA:16.17#urn:cite:hmt:vaimg.VA206RN-0377@0.181,0.5154,0.378,0.024
urn:cts:greekLit:tlg0012.tlg001.msA:16.18#urn:cite:hmt:vaimg.VA206RN-0377@0.179,0.5342,0.426,0.024
urn:cts:greekLit:tlg0012.tlg001.msA:16.19#urn:cite:hmt:vaimg.VA206RN-0377@0.176,0.5537,0.417,0.024
urn:cts:greekLit:tlg0012.tlg001.msA:16.20#urn:cite:hmt:vaimg.VA206RN-0377@0.174,0.5733,0.443,0.0233
urn:cts:greekLit:tlg0012.tlg001.msA:16.21#urn:cite:hmt:vaimg.VA206RN-0377@0.174,0.5943,0.418,0.0203
urn:cts:greekLit:tlg0012.tlg001.msA:16.22#urn:cite:hmt:vaimg.VA206RN-0377@0.178,0.6116,0.425,0.0233
urn:cts:greekLit:tlg0012.tlg001.msA:16.23#urn:cite:hmt:vaimg.VA206RN-0377@0.177,0.6296,0.419,0.0225
urn:cts:greekLit:tlg0012.tlg001.msA:16.24#urn:cite:hmt:vaimg.VA206RN-0377@0.18,0.6484,0.409,0.021
urn:cts:greekLit:tlg0012.tlg001.msA:16.25#urn:cite:hmt:vaimg.VA206RN-0377@0.179,0.6672,0.429,0.0255
urn:cts:greekLit:tlg0012.tlg001.msA:16.51#urn:cite:hmt:vaimg.VA207RN-0378@0.195,0.2051,0.422,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.52#urn:cite:hmt:vaimg.VA207RN-0378@0.184,0.2276,0.449,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.53#urn:cite:hmt:vaimg.VA207RN-0378@0.184,0.2457,0.449,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.54#urn:cite:hmt:vaimg.VA207RN-0378@0.188,0.2645,0.455,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.55#urn:cite:hmt:vaimg.VA207RN-0378@0.188,0.284,0.434,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.56#urn:cite:hmt:vaimg.VA207RN-0378@0.188,0.302,0.434,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.57#urn:cite:hmt:vaimg.VA207RN-0378@0.19,0.3201,0.434,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.58#urn:cite:hmt:vaimg.VA207RN-0378@0.189,0.3403,0.434,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.59#urn:cite:hmt:vaimg.VA207RN-0378@0.188,0.3606,0.434,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.60#urn:cite:hmt:vaimg.VA207RN-0378@0.191,0.3802,0.434,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.61#urn:cite:hmt:vaimg.VA207RN-0378@0.189,0.3974,0.434,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.62#urn:cite:hmt:vaimg.VA207RN-0378@0.188,0.4185,0.434,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.63#urn:cite:hmt:vaimg.VA207RN-0378@0.192,0.435,0.434,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.64#urn:cite:hmt:vaimg.VA207RN-0378@0.189,0.4545,0.434,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.65#urn:cite:hmt:vaimg.VA207RN-0378@0.19,0.4748,0.434,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.66#urn:cite:hmt:vaimg.VA207RN-0378@0.182,0.4929,0.434,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.67#urn:cite:hmt:vaimg.VA207RN-0378@0.182,0.4929,0.434,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.68#urn:cite:hmt:vaimg.VA207RN-0378@0.182,0.4929,0.434,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.69#urn:cite:hmt:vaimg.VA207RN-0378@0.188,0.55,0.434,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.70#urn:cite:hmt:vaimg.VA207RN-0378@0.183,0.5687,0.434,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.71#urn:cite:hmt:vaimg.VA207RN-0378@0.184,0.5898,0.449,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.72#urn:cite:hmt:vaimg.VA207RN-0378@0.184,0.5898,0.449,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.73#urn:cite:hmt:vaimg.VA207RN-0378@0.184,0.6251,0.449,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.74#urn:cite:hmt:vaimg.VA207RN-0378@0.175,0.6424,0.449,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.75#urn:cite:hmt:vaimg.VA207RN-0378@0.176,0.6627,0.449,0.0278
urn:cts:greekLit:tlg0012.tlg001.msA:16.76#urn:cite:hmt:vaimg.VA207VN-0709@0.4969,0.2238,0.3995,0.0263
urn:cts:greekLit:tlg0012.tlg001.msA:16.77#urn:cite:hmt:vaimg.VA207VN-0709@0.5006,0.251,0.3925,0.0219
urn:cts:greekLit:tlg0012.tlg001.msA:16.78#urn:cite:hmt:vaimg.VA207VN-0709@0.4995,0.2731,0.3925,0.0172
urn:cts:greekLit:tlg0012.tlg001.msA:16.79#urn:cite:hmt:vaimg.VA207VN-0709@0.5039,0.2889,0.4069,0.0221
urn:cts:greekLit:tlg0012.tlg001.msA:16.80#urn:cite:hmt:vaimg.VA207VN-0709@0.5009,0.3099,0.4205,0.0188
urn:cts:greekLit:tlg0012.tlg001.msA:16.81#urn:cite:hmt:vaimg.VA207VN-0709@0.4913,0.326,0.4165,0.0208
urn:cts:greekLit:tlg0012.tlg001.msA:16.82#urn:cite:hmt:vaimg.VA207VN-0709@0.4976,0.3448,0.4213,0.0216
urn:cts:greekLit:tlg0012.tlg001.msA:16.83#urn:cite:hmt:vaimg.VA207VN-0709@0.5002,0.365,0.3984,0.0208
urn:cts:greekLit:tlg0012.tlg001.msA:16.84#urn:cite:hmt:vaimg.VA207VN-0709@0.5006,0.3832,0.3914,0.0232
urn:cts:greekLit:tlg0012.tlg001.msA:16.85#urn:cite:hmt:vaimg.VA207VN-0709@0.5006,0.4043,0.4246,0.0216
urn:cts:greekLit:tlg0012.tlg001.msA:16.86#urn:cite:hmt:vaimg.VA207VN-0709@0.4991,0.42,0.4084,0.021
urn:cts:greekLit:tlg0012.tlg001.msA:16.87#urn:cite:hmt:vaimg.VA207VN-0709@0.5028,0.4394,0.4054,0.0221
urn:cts:greekLit:tlg0012.tlg001.msA:16.88#urn:cite:hmt:vaimg.VA207VN-0709@0.498,0.459,0.4069,0.0205
urn:cts:greekLit:tlg0012.tlg001.msA:16.89#urn:cite:hmt:vaimg.VA207VN-0709@0.5025,0.4778,0.4064,0.0266
urn:cts:greekLit:tlg0012.tlg001.msA:16.90#urn:cite:hmt:vaimg.VA207VN-0709@0.5003,0.4969,0.4145,0.021
urn:cts:greekLit:tlg0012.tlg001.msA:16.91#urn:cite:hmt:vaimg.VA207VN-0709@0.5003,0.5124,0.3684,0.0238
urn:cts:greekLit:tlg0012.tlg001.msA:16.92#urn:cite:hmt:vaimg.VA207VN-0709@0.5003,0.5326,0.4126,0.0232
urn:cts:greekLit:tlg0012.tlg001.msA:16.93#urn:cite:hmt:vaimg.VA207VN-0709@0.5003,0.5542,0.3606,0.0188
urn:cts:greekLit:tlg0012.tlg001.msA:16.94#urn:cite:hmt:vaimg.VA207VN-0709@0.5003,0.5727,0.4119,0.0208
urn:cts:greekLit:tlg0012.tlg001.msA:16.95#urn:cite:hmt:vaimg.VA207VN-0709@0.5011,0.5913,0.4008,0.0227
urn:cts:greekLit:tlg0012.tlg001.msA:16.96#urn:cite:hmt:vaimg.VA207VN-0709@0.5014,0.612,0.4196,0.0208
urn:cts:greekLit:tlg0012.tlg001.msA:16.97#urn:cite:hmt:vaimg.VA207VN-0709@0.4992,0.6308,0.4005,0.0232
urn:cts:greekLit:tlg0012.tlg001.msA:16.98#urn:cite:hmt:vaimg.VA207VN-0709@0.4996,0.6502,0.3699,0.0213
urn:cts:greekLit:tlg0012.tlg001.msA:16.99#urn:cite:hmt:vaimg.VA207VN-0709@0.5003,0.6682,0.406,0.0219
urn:cts:greekLit:tlg0012.tlg001.msA:16.100#urn:cite:hmt:vaimg.VA207VN-0709@0.4982,0.6858,0.3693,0.0302
urn:cts:greekLit:tlg0012.tlg001.msA:16.101#urn:cite:hmt:vaimg.VA208RN-0379@0.19,0.2081,0.373,0.0331
urn:cts:greekLit:tlg0012.tlg001.msA:16.102#urn:cite:hmt:vaimg.VA208RN-0379@0.1948,0.2311,0.3603,0.026
urn:cts:greekLit:tlg0012.tlg001.msA:16.103#urn:cite:hmt:vaimg.VA208RN-0379@0.1976,0.2509,0.3603,0.026
urn:cts:greekLit:tlg0012.tlg001.msA:16.104#urn:cite:hmt:vaimg.VA208RN-0379@0.2007,0.2717,0.3703,0.026
urn:cts:greekLit:tlg0012.tlg001.msA:16.105#urn:cite:hmt:vaimg.VA208RN-0379@0.1992,0.2903,0.382,0.0231
urn:cts:greekLit:tlg0012.tlg001.msA:16.106#urn:cite:hmt:vaimg.VA208RN-0379@0.1992,0.3084,0.404,0.0231
urn:cts:greekLit:tlg0012.tlg001.msA:16.107#urn:cite:hmt:vaimg.VA208RN-0379@0.1976,0.3259,0.3996,0.0237
